Movie_name,Original_Title,Release_date,Release_year,Release_decade,Genre,Runtime_minutes,Director,Top_Actors,Actor_count,Overview,Budget,Budget_category,Revenue,Profit,ROI,Is_profitable,Rating,Rating_category,Poster_URL,Source
Your Heart Will Be Broken,Your Heart Will Be Broken,"Mar 26, 2026",2026,2020s,"Drama, Romance",134.0,Mikhail Vaynberg,"Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin",4,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",,Unknown,,,,,67,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg,TMDb
Avatar: Fire and Ash,Avatar: Fire and Ash,"Dec 19, 2025",2025,2020s,"Adventure, Fantasy",198.0,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",5,"Après la mort de Neteyam, Jake et Neytiri affrontent leur chagrin tout en faisant face au Peuple des Cendres, une tribu Na’vi redoutable menée par le fougueux Varang, alors que le conflit sur Pandora s’intensifie et qu’une nouvelle quê morale s’amorce.",35000000000.0,High (>100M),148219537700.0,113219537700.0,3.23,True,73,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,TMDb
Mike & Nick & Nick & Alice,Mike & Nick & Nick & Alice,"Mar 14, 2026",2026,2020s,"Comedy, Crime",107.0,BenDavid Grabinski,"James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro",5,"Deux gangsters et la femme qu'ils aiment tentent de survivre à la nuit la plus dangereuse de leur vie. Comme si cela ne suffisait pas, un élément imprévisible vient s'ajouter à l'équation : une machine à remonter le temps.",,Unknown,,,,,65,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/7F0jc75HrSkLVcvOXR2FXAIwuEv.jpg,TMDb
Pretty Lethal,Pretty Lethal,"Mar 13, 2026",2026,2020s,"Action, Thriller",91.0,Vicky Jewson,"Maddie Ziegler, Lana Condor, Iris Apatow, Millicent Simmonds, Avantika",5,"Un thriller effréné où cinq ballerines, bloquées dans une forêt isolée en chemin vers un concours de danse, se réfugient dans une sinistre auberge routière tenue par Devora Kasimer et doivent transformer leur formation d'élite pour survivre.",,Unknown,,,,,68,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/znTPnXCK3lEQJgqXCvP7e5FUz6f.jpg,TMDb
Shelter,Shelter,"Jan 30, 2026",2026,2020s,"Action, Crime, Thriller",107.0,Ric Roman Waugh,"Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy",5,"Mason vit isolé sur une île écossaise. Après avoir sauvé une jeune fille de l'océan lors d'une terrible tempête, il déclenche une série d'événements qui provoquent une violente attaque dans son refuge...",5000000000.0,High (>100M),4814860300.0,-185139700.0,-0.04,False,67,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,TMDb
Project Hail Mary,Project Hail Mary,"Mar 20, 2026",2026,2020s,Adventure,155.0,Christopher Miller,"Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub",5,"Le professeur de sciences Ryland Grace se réveille à bord d’un vaisseau spatial, à des années-lumière de la Terre, sans aucun souvenir de qui il est ni de la façon dont il est arrivé là. À mesure que sa mémoire lui revient, il commence à découvrir sa mission : résoudre l’énigme d’une mystérieuse substance qui provoque l’extinction du Soleil. Il doit faire appel à ses connaissances scientifiques et ses idées peu orthodoxes pour sauver toute vie sur Terre mais une amitié inattendue pourrait signifier qu’il n’aura pas à accomplir cette tâche seul.",20000000000.0,High (>100M),30080224000.0,10080224000.0,0.5,True,82,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/yihdXomYb5kTeSivtFndMy5iDmf.jpg,TMDb
GOAT,GOAT,"Feb 13, 2026",2026,2020s,"Animation, Comedy",100.0,Tyree Dillihay,"Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan",5,"Will est un petit bouc avec de grands rêves. Lorsqu'il décroche une chance inespérée de rejoindre la ligue professionnelle de ""roarball"", un sport ultra-intense réservé aux bêtes les plus rapides et féroces, il entend bien saisir l’opportunité. Problème : ses nouveaux coéquipiers ne sont pas vraiment ravis d'avoir un ""petit"" dans l'équipe. Mais Will est prêt à tout pour changer les règles du jeu.",9000000000.0,High (>100M),17443573700.0,8443573700.0,0.94,True,78,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,TMDb
Send Help,Send Help,"Jan 30, 2026",2026,2020s,"Comedy, Horror, Thriller",113.0,Sam Raimi,"Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel",5,"Après un terrible accident d'avion, deux collègues d'une compagnie se retrouvent seuls survivants, coincés sur une île déserte. L'une est une employée maligne et pleine de ressources, l'autre son patron tyrannique et désagréable. Obligés de s'adapter aux conditions extrêmes de leur isolement, ils doivent surmonter leurs vieilles rancunes et travailler ensemble pour survivre.",4000000000.0,High (>100M),9390478100.0,5390478100.0,1.35,True,71,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,TMDb
Peaky Blinders: The Immortal Man,Peaky Blinders: The Immortal Man,"Mar 06, 2026",2026,2020s,"Crime, Drama",112.0,Tom Harper,"Cillian Murphy, Barry Keoghan, Rebecca Ferguson, Tim Roth, Stephen Graham",5,"Lorsque son fils, avec qui il est brouillé, se retrouve impliqué dans un complot nazi, Tommy Shelby, en exil, doit retourner à Birmingham pour sauver sa famille et son pays.",,Unknown,,,,,73,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/gRMalasZEzsZi4w2VFuYusfSfqf.jpg,TMDb
Scream 7,Scream 7,"Feb 27, 2026",2026,2020s,"Crime, Horror, Mystery",114.0,Kevin Williamson,"Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding",5,"Lorsqu’un nouveau Ghostface surgit dans la paisible ville où Sidney Prescott a reconstruit sa vie, ses pires cauchemars refont surface. Alors que sa fille devient la prochaine cible, Sidney n’a d’autre choix que de reprendre le combat. Déterminée à protéger les siens, elle doit alors affronter les démons de son passé pour tenter de mettre fin une bonne fois pour toutes au bain de sang.",4500000000.0,High (>100M),20407100000.0,15907100000.0,3.53,True,58,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,TMDb
Crime 101,Crime 101,"Feb 13, 2026",2026,2020s,"Crime, Thriller",135.0,Bart Layton,"Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro",5,"Un voleur insaisissable, dont les braquages spectaculaires mystifient la police. Lorsqu’il repère le coup du siècle, son chemin croise celui d’une courtière en assurances désabusée, elle-même à un tournant de sa vie. Convaincu qu’il tient une piste, un détective tenace se rapproche dangereusement de l’opération, faisant monter la tension d’un cran. À l’approche de ce braquage, la ligne entre chasseur et proie devient de plus en plus floue, et les trois protagonistes devront faire des choix cruciaux, tout en réalisant qu’il est désormais trop tard pour faire marche arrière.",9000000000.0,High (>100M),6746438900.0,-2253561100.0,-0.25,False,70,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/8L1IKxEfrFHmo2Zg0qjL9yAMnbP.jpg,TMDb
War Machine,War Machine,"Mar 06, 2026",2026,2020s,"Action, Thriller",110.0,Patrick Hughes,"Alan Ritchson, Dennis Quaid, Stephan James, Jai Courtney, Esai Morales",5,"Lors d'une dernière mission éprouvante pendant sa formation de Ranger, un ingénieur militaire doit mener son unité contre une gigantesque machine à tuer venue d'un autre monde.",,Unknown,,,,,73,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/tlPgDzwIE7VYYIIAGCTUOnN4wI1.jpg,TMDb
Greenland 2: Migration,Greenland 2: Migration,"Jan 09, 2026",2026,2020s,"Adventure, Thriller",98.0,Chris Sparling,"Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg",5,"Après l'impact dévastateur d'une comète qui a réduit la Terre en ruines, la famille Garrity doit quitter la sécurité de son bunker au Groenland. Commence alors un périple pour leur survie et l'avenir de l'Humanité à travers un monde dévasté à la recherche d'un nouveau foyer.",9000000000.0,High (>100M),4457938700.0,-4542061300.0,-0.5,False,65,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,TMDb
Rocky Aur Rani Kii Prem Kahaani,Rocky Aur Rani Kii Prem Kahaani,"Jul 28, 2023",2023,2020s,"Comedy, Drama, Romance",179.0,Karan Johar,"Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra",5,"Rocky, un mordu de gymnastique, tombe amoureux de Rani, qui vient d'une famille bengalie bien éduquée. Comme ils appartiennent à des mondes diamétralement opposés, ils décident d'échanger leurs familles pour s'adapter à la culture et au milieu de chacun et pour savoir si leur mariage survivra. Rocky et Rani sont piégés dans un monde où ils sont unis par l'amour mais divisés par leurs familles, et la question ultime est de savoir s'ils y trouveront leur place.",,Unknown,,,,,60,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,TMDb
Zootopia 2,Zootopia 2,"Nov 26, 2025",2025,2020s,"Adventure, Animation, Comedy, Mystery",108.0,Jared Bush,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",5,"Judy Hopps et Nick Wilde explorent à nouveau Zootopie, entre mystères, rires et rencontres inattendues. À travers chaque rue et chaque instant, ils découvrent que l’amitié et la curiosité transforment le quotidien en moments magiques.",15000000000.0,High (>100M),186104466200.0,171104466200.0,11.41,True,76,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,TMDb
Hoppers,Hoppers,"Mar 06, 2026",2026,2020s,"Adventure, Animation, Comedy",105.0,Daniel Chong,"Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco",5,"Mabel est une jeune fille audacieuse qui a une grande ambition : infiltrer le monde animal. Pour ce faire, elle transfère son esprit à un robot castor afin de pouvoir approcher d’autres animaux et étudier leur mode de vie.",15000000000.0,High (>100M),29760000000.0,14760000000.0,0.98,True,76,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,TMDb
Lake Jesup: Bonecrusher's Revenge,Lake Jesup: Bonecrusher's Revenge,"May 01, 2024",2024,2020s,"Adventure, Comedy, Horror",87.0,Michael Houston King,"Derek Russo, Jeff Benninghofen, Essex O'Brien, Sarah Voigt",4,"In 2003, Lake Jesup became the stage for a real-life horror story, as a monstrous alligator escaped from captivity and began a reign of terror. As the body count rose, a desperate hunt ensued to stop the creature.",125000000.0,High (>100M),,,,,61,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/1Z1TgGXS1MD4DDfIkBNloM43vvj.jpg,TMDb
Whistle,Whistle,"Feb 06, 2026",2026,2020s,"Horror, Mystery",97.0,Corin Hardy,"Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye",5,"Un groupe d'élèves inadaptés découvre par hasard un objet maudit, un ancien Sifflet de la Mort aztèque. Ils découvrent qu'en soufflant dans le sifflet, le son terrifiant qu'il émet fera venir leurs morts futures pour les traquer.",200000000.0,High (>100M),256802700.0,56802700.0,0.28,True,60,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/eGxPyseSnEZBMJaopGfRUO9HSYx.jpg,TMDb
Do Not Enter,Do Not Enter,"Mar 20, 2026",2026,2020s,Horror,91.0,Marc Klasfeld,"Francesca Reale, Nicholas Hamilton, Adeline Rudolph, Jake Manley, Shane Paul McGhie",5,"Un groupe d'explorateurs urbains pénètre dans un hôtel abandonné pour y chercher sensations fortes et trésor caché, mais se retrouve confronté à des rivaux dangereux et à une présence surnaturelle menaçante.",,Unknown,,,,,53,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/stM9N7eJmHKLmFR59JG4tLdN7Wk.jpg,TMDb
"""Wuthering Heights""","""Wuthering Heights""","Feb 13, 2026",2026,2020s,"Drama, Romance",136.0,Emerald Fennell,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif",5,"Sur les landes balayées par le vent du Yorkshire, la passion dévorante entre Catherine Earnshaw et Heathcliff se transforme en une obsession destructrice, bouleversant leurs vies et celles de leur entourage.​",8000000000.0,High (>100M),23636300000.0,15636300000.0,1.95,True,64,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/lGlJ2cTDwMacj5nuANd38UjVGNQ.jpg,TMDb
The Deadly Little Mermaid,The Deadly Little Mermaid,"Mar 06, 2026",2026,2020s,Horror,80.0,Cameron Uzoka,Elliott Eason,1,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, he thinks he’s performed a miracle. But as she recovers within the walls of his secluded home, a series of unsettling events leads him to a terrifying realization: her presence is no coincidence. She is inextricably linked to the same watery grave that claimed his family years ago.",,Unknown,,,,,49,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/uye25uG7k8r3NNPLyPiKOiRnFRF.jpg,TMDb
Dhurandhar: The Revenge,Dhurandhar: The Revenge,"Mar 18, 2026",2026,2020s,"Action, Crime, Thriller",229.0,Aditya Dhar,"Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun",5,"Hamza Ali Mazari n’existe pas. Derrière ce nom se cache Jaskirat Singh Rangi, infiltré au cœur du monde criminel pakistanais. Sa cible : Majo, un fantôme insaisissable.",2250000000.0,High (>100M),15000000000.0,12750000000.0,5.67,True,79,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,TMDb
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"Sep 12, 2025",2025,2020s,"Action, Animation, Fantasy",155.0,Haruo Sotozaki,"Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya",5,"L'armée des pourfendeurs de démons est attirée dans la Forteresse Infinie, où Tanjiro, Zenitsu et Inosuke  affrontent de terrifiants démons de rang supérieur dans un combat désespéré alors que la bataille finale contre Kibutsuji Muzan commence.",2000000000.0,High (>100M),73303022100.0,71303022100.0,35.65,True,77,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,TMDb
The Unknown Man,The Unknown Man,"Oct 16, 2021",2021,2020s,Drama,23.0,Anthony Schatteman,"Geert Van Rampelberg, Samuel Suchod",2,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",,Unknown,,,,,85,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,TMDb
Return to Silent Hill,Return to Silent Hill,"Jan 23, 2026",2026,2020s,"Drama, Horror, Mystery",106.0,Christophe Gans,"Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis",5,"Lorsqu’il reçoit une mystérieuse lettre de Mary, son amour perdu, James est attiré vers Silent Hill, une ville autrefois familière, aujourd’hui engloutie par les ténèbres.En partant à sa recherche, James affronte des créatures monstrueuses et découvre une vérité terrifiante qui le poussera aux limites de la folie.",2300000000.0,High (>100M),4302389700.0,2002389700.0,0.87,True,50,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,TMDb
Mercy,Mercy,"Jan 23, 2026",2026,2020s,"Action, Thriller",100.0,Timur Bekmambetov,"Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan",5,"Dans un futur proche, la ville de Los Angeles est en proie à une montée de la violence. Le détective privé Chris Raven est accusé du meurtre de sa femme. Il est jugé par la juge Maddox, une intelligence artificielle avancée du tribunal expéditif de Mercy Capital, auquel Chris a grandement contribué. Il a 90 minutes pour prouver lui-même son innocence. Après ce délai, l'IA déterminera son sort et le condamnera à mort.",6000000000.0,High (>100M),5431004100.0,-568995900.0,-0.09,False,70,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg,TMDb
The Wrecking Crew,The Wrecking Crew,"Jan 28, 2026",2026,2020s,"Action, Comedy, Crime, Mystery",122.0,Ángel Manuel Soto,"Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox",5,"Deux demi-frères brouillés, Jonny et James, se réunissent après la mort mystérieuse de leur père. Durant leur quête de la vérité, des secrets enfouis révèlent un complot qui menace de détruire leur famille.",7850000000.0,High (>100M),8900000000.0,1050000000.0,0.13,True,69,Excellent (8+),https://media.themoviedb.org/t/p/w220_and_h330_face/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,TMDb
